Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Philippines,PHL,6.298,5.432,5.623,5.674,5.719,5.754,5.78,5.798,5.815,5.839,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Poland,POL,10.2,9.6,9.9,9.9,10.1,10.2,9.9,10.4,10.2,10.6,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Portugal,PRT,10.3,10.2,10,9.7,10.2,10.2,10.1,10.5,10.7,10.6,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Puerto Rico,PRI,7.3,7.48,7.833,8,8.1,8.1,8.5,8.084,8.86,8.9,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Qatar,QAT,2.133,1.941,1.211,1.173,1.148,1.132,1.127,1.131,1.146,1.169,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Romania,ROU,10.6,11.4,12.8,12.5,12.7,12.4,12.8,13.2,13.1,13.3,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Russian Federation,RUS,11.2,15.3,14.2,13.5,13.3,13,13.1,13,12.9,12.9,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Rwanda,RWA,34.184,14,7.31,6.79,6.384,6.059,5.801,5.597,5.435,5.308,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Samoa,WSM,6.6,6.316,5.848,5.795,5.727,5.645,5.554,5.461,5.372,5.296,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,San Marino,SMR,..,..,6.53333333333333,6.8,7.1,7.4,7.7,7.1,7.6,..,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sao Tome and Principe,STP,11.061,9.054,5.848,5.669,5.509,5.364,5.232,5.111,5.002,4.908,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Saudi Arabia,SAU,4.913,3.691,3.464,3.441,3.422,3.41,3.407,3.412,3.426,3.446,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Senegal,SEN,11.335,10.752,7.305,7.013,6.753,6.522,6.319,6.141,5.985,5.845,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Serbia,SRB,..,13.8,14.2,14.2,14.2,14,14.2,14.6,14.3,14.8,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Seychelles,SYC,7.7,6.8,7.4,7.9,7.4,8,7.9,7.5,7.9,7.8,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sierra Leone,SLE,25.386,23.594,15.25,14.597,14.008,13.483,13.025,12.63,12.294,12.003,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Singapore,SGP,4.7,4.5,4.4,4.5,4.5,4.6,4.7,4.8,4.8,5,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sint Maarten (Dutch part),SXM,..,..,4.1,5.1,5.4,4.7,4.7,4.6,..,..,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Slovak Republic,SVK,10.3,9.8,9.9,9.6,9.7,9.6,9.5,9.9,9.6,9.9,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Slovenia,SVN,9.3,9.3,9.1,9.1,9.4,9.4,9.2,9.6,9.5,9.9,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Solomon Islands,SLB,6.779,5.561,4.752,4.672,4.592,4.516,4.444,4.38,4.326,4.284,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Somalia,SOM,19.554,15.489,12.869,12.601,12.331,12.06,11.793,11.534,11.289,11.062,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,South Africa,ZAF,8.082,12.107,12.085,11.483,10.918,10.43,10.044,9.769,9.599,9.498,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,South Sudan,SSD,20.795,16.075,11.984,11.669,11.399,11.171,10.983,10.826,10.694,10.574,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Spain,ESP,8.6,8.9,8.2,8.3,8.6,8.3,8.5,9.1,8.8,9,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sri Lanka,LKA,6.5,6.89,6.02,6.076,6.135,6.204,6.282,6.368,6.459,6.554,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,St. Kitts and Nevis,KNA,..,..,..,..,..,..,8.1,..,..,..,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,St. Lucia,LCA,6.239,6.666,6.577,6.712,6.84,6.947,7.028,7.084,7.123,7.16,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,St. Martin (French part),MAF,2.8,3.3,3.8,3.9,4,4,4.1,4.2,4.2,4.3,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,St. Vincent and the Grenadines,VCT,6.647,7.248,7.79,8.004,8.234,8.462,8.678,8.87,9.032,9.162,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sudan,SDN,12.045,10.263,8.122,7.946,7.788,7.649,7.53,7.428,7.34,7.261,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Suriname,SUR,7.256,7.453,7.017,7.019,7.039,7.071,7.114,7.164,7.219,7.277,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sweden,SWE,11.1,10.5,9.6,9.5,9.7,9.4,9.2,9.3,9.2,9.1,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Switzerland,CHE,9.5,8.7,8,7.8,8,8,7.8,8.2,7.8,7.9,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Syrian Arab Republic,SYR,4.509,3.719,4.495,4.878,5.229,5.51,5.697,5.771,5.726,5.584,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Tajikistan,TJK,11.425,8.511,5.746,5.643,5.542,5.435,5.322,5.201,5.078,4.961,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Tanzania,TZA,14.914,13.808,9.212,8.751,8.305,7.887,7.503,7.161,6.868,6.622,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Thailand,THA,5.707,6.877,7.191,7.213,7.241,7.279,7.327,7.389,7.467,7.559,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Timor-Leste,TLS,16.58,10.366,6.505,6.401,6.332,6.276,6.225,6.169,6.109,6.05,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Togo,TGO,11.973,12.756,10.175,9.826,9.514,9.244,9.02,8.841,8.695,8.568,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Tonga,TON,6.225,6.862,7.179,7.205,7.225,7.239,7.245,7.24,7.223,7.194,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Trinidad and Tobago,TTO,7.483,7.598,7.77,7.815,7.866,7.925,7.993,8.07,8.159,8.261,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Tunisia,TUN,6.275,5.53,6.194,6.241,6.274,6.294,6.301,6.298,6.287,6.274,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Turkey,TUR,8.247,6.466,5.697,5.619,5.547,5.484,5.436,5.404,5.39,5.394,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Turkmenistan,TKM,8.811,7.771,7.214,7.189,7.167,7.145,7.122,7.098,7.076,7.057,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Uganda,UGA,18.012,16.511,9.659,9.114,8.605,8.138,7.716,7.345,7.031,6.769,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Ukraine,UKR,12.1,15.4,15.2,14.5,14.5,14.6,14.7,14.9,14.7,14.5,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,United Arab Emirates,ARE,2.562,1.869,1.403,1.382,1.369,1.363,1.366,1.377,1.398,1.429,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,United Kingdom,GBR,11.2,10.3,8.9,8.7,8.9,9,8.8,9.2,9.1,9.2,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,United States,USA,8.6,8.5,7.995,8.073,8.102,8.215,8.237,8.44,8.493,8.5,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Uruguay,URY,9.79,9.417,9.324,9.349,9.376,9.401,9.423,9.44,9.452,9.461,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Uzbekistan,UZB,6.1,5.50084067553592,4.9,4.9,4.9,4.8,4.9,4.9,4.9,5,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Vanuatu,VUT,7.117,6.118,5.526,5.529,5.527,5.514,5.489,5.45,5.396,5.334,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,"Venezuela, RB",VEN,5.027,5.09,5.56,5.676,5.822,5.997,6.197,6.408,6.619,6.814,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Vietnam,VNM,6.36,5.651,5.81,5.867,5.93,5.994,6.06,6.126,6.19,6.253,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Virgin Islands (U.S.),VIR,4.625,6,6.6,6.6,6.7,6.9,7.1,7.3,7.6,7.8,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,West Bank and Gaza,PSE,6.72,4.5,3.511,3.508,3.505,3.501,3.495,3.488,3.478,3.469,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,"Yemen, Rep.",YEM,11.833,8.894,6.189,6.094,6.03,5.992,5.974,5.969,5.972,5.978,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Zambia,ZMB,15.711,17.929,10.051,9.304,8.637,8.055,7.565,7.169,6.864,6.633,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Zimbabwe,ZWE,9.074,16.534,13.679,12.384,11.167,10.115,9.277,8.673,8.286,8.044,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Arab World,ARB,7.97506651102474,6.44095917557408,5.68165740677503,5.64435324686684,5.60853392993795,5.57131092974662,5.53223521324715,5.49165625851344,5.45121783938498,5.41347319289088,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Caribbean small states,CSS,7.04776811779945,6.93970321204182,7.23916733841792,7.27175921526787,7.31663154920882,7.36112519478405,7.41773065191223,7.44826042272022,7.49240071635527,7.53914815837114,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Central Europe and the Baltics,CEB,11.1751433470436,11.0069233625195,11.4294836462092,11.3167231657085,11.4967288607324,11.4105615229753,11.375115818527,11.8380878167684,11.6171639951138,11.9573201546515,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Early-demographic dividend,EAR,9.78614141944457,8.01917415850781,6.96962460708017,6.87671676418503,6.7972706286125,6.73164733123026,6.68455592321071,6.6526981083364,6.63512602276607,6.6298142189365,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,East Asia & Pacific,EAS,6.87339223109423,6.65701898807111,7.04000629382138,7.07533454701819,7.08343129280975,7.08660634678939,7.08894027459688,7.07154119094088,7.07862863670555,7.11424254680889,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,East Asia & Pacific (excluding high income),EAP,6.94935472538864,6.64517469440185,6.95735447857541,6.96714659506244,6.96571998667445,6.96666624058626,6.96343712509287,6.93010090236071,6.92089124141649,6.9426223769282,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,East Asia & Pacific (IDA & IBRD countries),TEA,6.96583331441819,6.61409491119332,6.9343040235707,6.94495174630243,6.94411705264855,6.94528453828162,6.94181256327575,6.9072133848258,6.89676504139603,6.91741124689067,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Euro area,EMU,10.0046234891711,9.60272764797993,9.42077739682353,9.42000901106737,9.7028320423329,9.66563509536034,9.49445531612893,10.0611971608726,9.84134494746949,10.0813047438407,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Europe & Central Asia,ECS,10.2497443967013,10.7763401092791,10.1948150062529,9.98875908818973,10.0667243991828,9.96259931883288,9.87203768759229,10.1364572248902,9.9723973433384,10.0763281093085,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Europe & Central Asia (excluding high income),ECA,10.1050454096954,11.9132291511067,11.078347642871,10.6629287557043,10.5353750155409,10.3264716317113,10.3509619876068,10.3108334803059,10.2000225167739,10.1689932152061,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Europe & Central Asia (IDA & IBRD countries),TEC,10.1226733152441,11.7024661389331,10.9837527411113,10.6093734085153,10.5131696779139,10.3297297376168,10.3284271419604,10.3423342860396,10.2192652724747,10.2302499920688,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,European Union,EUU,10.4276234946836,9.98788906786334,9.72306454923646,9.67342868067531,9.92118693466714,9.88255195789412,9.73121933318887,10.2449325214071,10.0402606620505,10.2610984837148,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Fragile and conflict affected situations,FCS,13.1346652498786,11.9528539886109,9.54710898427586,9.30526515981718,9.07331167178081,8.84994689451393,8.63934103850986,8.44547496352844,8.27142227806911,8.11628306009985,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Heavily indebted poor countries (HIPC),HPC,16.3194654140975,14.0220583148802,9.87469516567002,9.51117709290383,9.17278865317806,8.85926290595959,8.57185062864633,8.31265140917081,8.08279458119411,7.87969054715466,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,High income,HIC,8.71801907434716,8.44791784811651,8.27130844657284,8.32035228330821,8.44156278403205,8.46422311283594,8.40140992760976,8.69296554682205,8.64784893031448,8.76964591422341,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,IBRD only,IBD,8.28041333642575,7.63309875193141,7.33461816367798,7.26692574413733,7.22743606567003,7.18873953445252,7.17235449399803,7.15300158145109,7.13824768426677,7.15406669430748,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,IDA & IBRD total,IBT,9.36426234003133,8.57279074816756,7.77302534378228,7.66669127644175,7.58541994838605,7.50682031364516,7.44960267490279,7.39279567117257,7.3433397344658,7.32117970102247,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,IDA blend,IDB,13.0860186392721,12.5289655556045,10.08111505694,9.83715713860885,9.6112069789932,9.39307810299676,9.20102770663534,9.01917866071872,8.8554158245328,8.71549237853037,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,IDA only,IDX,14.2169180324789,11.766982720293,8.7314656474108,8.48155484617038,8.25147489789623,8.03546963136862,7.83874278173781,7.65786550033485,7.49569118670857,7.35218480328512,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,IDA total,IDA,13.8336886212728,12.0243381899303,9.18641087221912,8.93904437926049,8.71079575175251,8.49450172344863,8.29979901796876,8.11886498852794,7.95635187310397,7.81415354173056,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Late-demographic dividend,LTE,7.14070492909406,7.21719814975855,7.4454714378896,7.41158203917546,7.41155421729041,7.39515036919959,7.40451451672426,7.386826774455,7.37286418297219,7.40523087675624,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Latin America & Caribbean,LCN,6.73514560495116,5.9664916129742,5.94153312382634,5.97478716317981,6.01304900202393,6.0551208085922,6.10424059299495,6.15093950185232,6.20764985193763,6.26180831343685,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Latin America & Caribbean (excluding high income),LAC,6.75497218246956,5.95364379159586,5.91818753529786,5.95069729739249,5.98892622592856,6.03160698358343,6.07874986893052,6.12856770852441,6.1812986214391,6.23581812265368,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Latin America & the Caribbean (IDA & IBRD countries),TLA,6.72372415464238,5.92806102458727,5.89233328045901,5.92316688460496,5.95952467598423,6.0002945561373,6.04575118339274,6.09366710977038,6.14489268120032,6.19816876097457,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Least developed countries: UN classification,LDC,14.9709335152143,12.2859660995456,8.95182594139215,8.66633566957195,8.40222820465856,8.15970116103234,7.93981450627827,7.74340784478716,7.57101947622315,7.41993203943948,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Low & middle income,LMY,9.34525558644299,8.57137905773234,7.76464818775571,7.65773992877887,7.57473278983367,7.4955638503865,7.44017711288338,7.37996753635578,7.33255469634019,7.30811119288324,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Low income,LIC,16.1177742429915,13.5202781974037,9.57821428477749,9.26497387635833,8.97473387903102,8.7047953497413,8.45406569248873,8.22361348040956,8.01482840067742,7.82646324890207,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Lower middle income,LMC,10.5989167177629,9.12215138540461,7.81773584723257,7.69038476734812,7.5889962764949,7.50144768971943,7.43188454059764,7.37797855570096,7.33323049832329,7.30323375754266,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Middle East & North Africa,MEA,7.11168295160298,5.53544410079814,5.05412601867331,5.03798410332275,5.02138810774578,5.00179570514822,4.98383234495222,4.96719513677753,4.94507578483836,4.92403605926632,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Middle East & North Africa (excluding high income),MNA,7.38560033133174,5.75214314112142,5.34891314538736,5.33868140671609,5.3273334861074,5.31291739790305,5.29531039489053,5.27495289521783,5.25181311619752,5.22746392450521,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Middle East & North Africa (IDA & IBRD countries),TMN,7.39147119762451,5.7653830716021,5.37006454785451,5.35990515981161,5.34860144201694,5.33419095727916,5.31656691050257,5.29616595466005,5.27298338005405,5.24851682254077,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Middle income,MIC,8.77359322769689,8.09912025697208,7.56283972990209,7.47642293906899,7.41470738087775,7.35556253872989,7.32125653035035,7.27966150279738,7.25028577573386,7.2446929523415,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,North America,NAC,8.46993852014625,8.36260924204353,7.89633805849186,7.97615367617061,8.00193651847283,8.11334681910129,8.14305424127981,8.33565850237028,8.38304870580049,8.39886702952575,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,OECD members,OED,8.63504415870697,8.24675773889505,8.11361827614411,8.16140582209533,8.28112049006426,8.31019812940496,8.2501083182104,8.52662169573094,8.48526585998194,8.60395738617631,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Other small states,OSS,10.2247520174182,10.951808726818,9.19111097681868,8.82918958042645,8.51834361807712,8.21973065320793,7.96367701729033,7.72708185038248,7.55400445521914,7.39323700878054,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Pacific island small states,PSS,6.8680113499398,6.57940769399905,6.61349891187294,6.5257878185122,6.57630258291636,6.54362244209093,6.47975032648414,6.41108645823396,6.37757448733858,6.34055635525019,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Post-demographic dividend,PST,9.09475179494858,9.08381395632931,8.94643499946111,8.97048095260502,9.09399124946753,9.11972589032842,9.06507864883563,9.37555295829144,9.31965656042366,9.43669939575322,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Pre-demographic dividend,PRE,16.2529865193625,15.0132216217063,10.9905177909681,10.6155506883521,10.2596833667551,9.92315596929391,9.60883949184606,9.32013104770025,9.06070394304178,8.8300773313113,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Small states,SST,9.24770669243985,9.78843044691647,8.64926852447236,8.3856603487162,8.17165677030627,7.95689307086374,7.77184665768926,7.59731699775025,7.47313779689832,7.3575786594535,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,South Asia,SAS,10.8287743740557,8.56050336232017,7.3248157812389,7.22691399189029,7.14509299404299,7.08115975371035,7.0364208027732,7.00988696013168,6.99955924611655,7.00087591599698,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,South Asia (IDA & IBRD),TSA,10.8287743740557,8.56050336232017,7.3248157812389,7.22691399189029,7.14509299404299,7.08115975371035,7.0364208027732,7.00988696013168,6.99955924611655,7.00087591599698,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sub-Saharan Africa,SSF,16.0219712479168,15.0049034063883,11.0142593555347,10.6031782970791,10.2198111298381,9.86557705528986,9.5432557438444,9.25483054584222,9.00273914359549,8.78185402850355,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sub-Saharan Africa (excluding high income),SSA,16.0231068099604,15.0059040461035,11.0146327458767,10.6034429998087,10.2200824760556,9.86575501445106,9.54341069388423,9.25499524372193,9.00284125703461,8.78194364626846,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sub-Saharan Africa (IDA & IBRD countries),TSS,16.0219712479168,15.0049034063883,11.0142593555347,10.6031782970791,10.2198111298381,9.86557705528986,9.5432557438444,9.25483054584221,9.00273914359549,8.78185402850355,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Upper middle income,UMC,7.11331292421367,7.09196277807729,7.28865167556445,7.24441870584715,7.22429000840372,7.19502997947504,7.19868291042434,7.16997021611683,7.15713026632856,7.17851816800574,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,World,WLD,9.22586679140821,8.54962624245867,7.84936670496533,7.76776741657143,7.71783736674294,7.65453655924766,7.5970394391536,7.59301025112662,7.54476058797529,7.54240423884828,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 03/18/2020,,,,,,,,,,,,,,,
